industry,activity,technology,tacit knowledge types,count
Health Care,Deliberate Practice and Repetition,Virtual Reality,Somatic Tacit Knowledge,28
Health Care,Deliberate Practice and Repetition,AI,Intellectual Tacit Knowledge,13
Health Care,Deliberate Practice and Repetition,Virtual Reality,Intellectual Tacit Knowledge,11
Health Care,Deliberate Practice and Repetition,Augment Reality,Somatic Tacit Knowledge,10
Industrials,Deliberate Practice and Repetition,Virtual Reality,Somatic Tacit Knowledge,7
Health Care,Deliberate Practice and Repetition,AI,Somatic Tacit Knowledge,6
Health Care,Deliberate Practice and Repetition,Augment Reality,Intellectual Tacit Knowledge,5
Health Care,Deliberate Practice and Repetition,Virtual Reality,Collective Tacit Knowledge,4
Industrials,Deliberate Practice and Repetition,Augment Reality,Somatic Tacit Knowledge,4
Consumer Discretionary,Deliberate Practice and Repetition,Augment Reality,Collective Tacit Knowledge,3
Real Estate,Deliberate Practice and Repetition,Virtual Reality,Somatic Tacit Knowledge,3
Information Technology,Deliberate Practice and Repetition,Virtual Reality,Intellectual Tacit Knowledge,3
Consumer Discretionary,Deliberate Practice and Repetition,Virtual Reality,Collective Tacit Knowledge,3
Information Technology,Deliberate Practice and Repetition,Augment Reality,Intellectual Tacit Knowledge,3
Health Care,Deliberate Practice and Repetition,AI,Collective Tacit Knowledge,2
Consumer Discretionary,Deliberate Practice and Repetition,Virtual Reality,Somatic Tacit Knowledge,2
Health Care,Deliberate Practice and Repetition,Virtual Reality,Relational Tacit Knowledge,2
Health Care,Deliberate Practice and Repetition,AI,Relational Tacit Knowledge,2
Information Technology,Deliberate Practice and Repetition,Augment Reality,Somatic Tacit Knowledge,1
Health Care,Mentoring,Virtual Reality,Intellectual Tacit Knowledge,1
Health Care,e-learning,Virtual Reality,Somatic Tacit Knowledge,1
Real Estate,Deliberate Practice and Repetition,Augment Reality,Somatic Tacit Knowledge,1
Health Care,e-learning,Augment Reality,Somatic Tacit Knowledge,1
Health Care,Simulation-based learning,Virtual Reality,Somatic Tacit Knowledge,1
Health Care,Simulation-based learning,Augment Reality,Somatic Tacit Knowledge,1
Health Care,Simulation exercises,Virtual Reality,Somatic Tacit Knowledge,1
Health Care,Simulation exercises,Virtual Reality,Intellectual Tacit Knowledge,1
Health Care,Mentoring,Virtual Reality,Somatic Tacit Knowledge,1
Consumer Discretionary,Deliberate Practice and Repetition,AI,Somatic Tacit Knowledge,1
Health Care,Mentoring,Augment Reality,Somatic Tacit Knowledge,1
Health Care,Mentoring,Augment Reality,Intellectual Tacit Knowledge,1
Health Care,Mentoring,AI,Somatic Tacit Knowledge,1
Health Care,Mentoring,AI,Intellectual Tacit Knowledge,1
Health Care,Job shadowing,Virtual Reality,Somatic Tacit Knowledge,1
Health Care,Hands-on workshops,Virtual Reality,Somatic Tacit Knowledge,1
Health Care,Case-based learning (CBL),Virtual Reality,Somatic Tacit Knowledge,1
Health Care,Case-based learning (CBL),Virtual Reality,Intellectual Tacit Knowledge,1
Consumer Discretionary,Knowledge Harvesting Workshops,Digital technologies,Collective Tacit Knowledge,1
Consumer Discretionary,Knowledge Harvesting Workshops,Big Data,Collective Tacit Knowledge,1
Consumer Discretionary,Knowledge Cafés,Digital technologies,Collective Tacit Knowledge,1
Consumer Discretionary,Knowledge Cafés,Big Data,Collective Tacit Knowledge,1
Consumer Discretionary,Deliberate Practice and Repetition,Augment Reality,Somatic Tacit Knowledge,1
Health Care,Hands-on workshops,Virtual Reality,Intellectual Tacit Knowledge,1
